,Company,Job,Location,Salary,Sponsored
1402,"


    Aetna
",Senior Data Scientist,"Boston, MA",,False
1403,"


    Google
","Computational Biologist, Verily Life Sciences","Cambridge, MA 02142 (East Cambridge area)",,False
1404,"


    AIR Worldwide
",Research Scientist - Agriculture Risk Assessment and Modelin...,"Boston, MA 02116 (South End area)",,False
1405,"


    Lifetime Fitness
",Ultimate Hoops Statistician,"Boston, MA",,False
1406,"

    Apptopia Inc
",Data Scientist,"Boston, MA","[<nobr>$100,000 a year</nobr>]",False
1407,"

    Parexel International",Senior Statistical Programmer (Home Based),"Boston, MA",,True
1408,"

    Altran",Lead Computational Biologist / Data Scientist,"Needham, MA",,True
1409,"

    Harvard University",Post-Doctoral Fellow in Data Science,"Cambridge, MA",,True
1410,"

    Parexel International",Senior Statistical Programmer (Home Based),"Boston, MA",,True
1411,"

    Philips Lighting",Data Scientist (Senior),"Cambridge, MA",,True
1412,"

    Philips Lighting",Data Analyst/Engineer,"Cambridge, MA",,True
1413,"

    NIBR
","Investigator III, Global Discovery Chemistry","Cambridge, MA",,False
1414,"


    Vistaprint
","Data Scientist, R or Python Developer","Waltham, MA",,False
1415,"

    Flexion Therapeutics
","Scientist, CMC Operations","Burlington, MA 01803",,False
1416,"


    Cimpress
","Data Scientist, R or Python Developer","Waltham, MA",,False
1417,"

    Tenizen
",Analytics Engineer,"Cambridge, MA 02139 (Area IV area)",,False
1418,"


    Liberty Mutual
",Principal Analyst\Asst. Director¸ Data Science,"Boston, MA","[<nobr>$100,000 - $125,000 a year</nobr>]",False
1419,"


    Philips Lighting
","Data Analytics, Services and IoT Solutions (Director Level)","Cambridge, MA",,False
1420,"

    Glympse Bio
",Scientist/Senior Scientist - Liver Research,"Cambridge, MA 02139 (Area IV area)",,False
1421,"

    Acadian Asset
","Analyst, Stock Selection Research","Boston, MA",,False
1422,"


    Department Of Veterans Affairs
",Statistician (Health),"Boston, MA","[<nobr>$92,448 - $120,187 a year</nobr>]",False
1423,"

    Altran",Lead Computational Biologist / Data Scientist,"Needham, MA",,True
1424,"

    Harvard University",Post-Doctoral Fellow in Data Science,"Cambridge, MA",,True
1425,"

    Philips Lighting",Data Scientist (Senior),"Cambridge, MA",,True
1426,"

    Philips Lighting",Data Analyst/Engineer,"Cambridge, MA",,True
1427,"


    Deloitte
",Big Data Manager - Information Delivery,"Boston, MA 02116 (South End area)",,False
1428,"


    Hebrew SeniorLife
",Research Assistant I,"Roslindale, MA 02131",,False
1429,"

    Right Hand Robotics
",Senior Scientists,"Cambridge, MA",,False
1430,"


    Broad Institute
",Postdoc Associate - Computational,"Boston, MA",,False
1431,"


    IBM
",IBM Watson Health Analytics Big Data Developer Apprentice,"Cambridge, MA",,False
1432,"

    Museum of Science Internships
",Hall of Human Life- Living Laboratory Internship,"Boston, MA 02114 (Back Bay-Beacon Hill area)",[<nobr>$10.25 an hour</nobr>],False
1433,"


    Rangam Consultants Inc.
",Analytical Scientist,"Andover, MA",,False
1434,"


    Broad Institute
",Research Associate II,"Boston, MA",,False
1435,"


    MIT
","Research Scientist, Teaching Systems Lab","Cambridge, MA",,False
1436,"


    CITIZENS BANK
",Quantitative Analyst II,"Boston, MA",,False
1437,"

    Parexel International",Senior Statistical Programmer (Home Based),"Boston, MA",,True
1438,"

    Altran",Lead Computational Biologist / Data Scientist,"Needham, MA",,True
1439,"

    Harvard University",Post-Doctoral Fellow in Data Science,"Cambridge, MA",,True
1440,"

    Philips Lighting",Data Scientist (Senior),"Cambridge, MA",,True
1441,"

    Philips Lighting",Data Analyst/Engineer,"Cambridge, MA",,True
1442,"

    Akili Interactive
","Scientist, Cognitive and Affective Programs","Boston, MA",,False
1443,"


    BNY Mellon
",Sr. Municipal Research Analyst - Standish,"Boston, MA",,False
1444,"

    Affectiva
",Machine Learning Scientist,"Boston, MA",,False
1445,"

    Anzu Global
",Natural Language Research Scientist,"Burlington, MA",,False
1446,"

    bluebird bio
","Scientist, Analytical Sciences","Cambridge, MA",,False
1447,"


    Philips Lighting
",End-user Lighting Applications Innovator,"Cambridge, MA",,False
1448,"


    Medix
",Research Associate,"Cambridge, MA",,False
1449,"

    Strategic Employment Partners
",Data Scientist,"Waltham, MA","[<nobr>$90,000 a year</nobr>]",False
1450,"


    Deloitte
",Big Data Senior Consultant - Information Delivery,"Boston, MA 02116 (South End area)",,False
1451,"

    Seven Bridges
",Field Application Scientist,"Cambridge, MA",,False
1452,"

    Parexel International",Senior Statistical Programmer (Home Based),"Boston, MA",,True
1453,"

    Altran",Lead Computational Biologist / Data Scientist,"Needham, MA",,True
1454,"

    Harvard University",Post-Doctoral Fellow in Data Science,"Cambridge, MA",,True
1455,"
    TrueMotion","Data Scientist, Machine Learning Engineer","Boston, MA",,True
1456,"
    KEW, Inc.",Bioinformatics Scientist (DNA Sequecing),"Cambridge, MA",,True
1457,"


    EnerNOC
",Big Data Development Manager,"Boston, MA",,False
1458,"

    Analytic Recruiting
",Data Scientist,"Boston, MA","[<nobr>$100,000 - $120,000 a year</nobr>]",False
1459,"

    FDF Asset Management U.S.
",Research Analyst,"Boston, MA",,False
1460,"

    Cignifi
",Senior Data Scientist,"Cambridge, MA",,False
1461,"

    Lantern Pharma
",Software engineer (Data analytics and IT Mangament) /Intern,"Boston, MA",,False
1462,"

    Perkins School for the Blind
",Market Research Analyst,"Watertown, MA 02472",,False
1463,"


    Massachusetts General Hospital(MGH)
",CLINICAL RESEARCH COORD. I,"Charlestown, MA",,False
1464,"

    Bevi
",Data Scientist,"Boston, MA",,False
1465,"


    IBM
",Watson Health - Genomics Bioinformatician,"Cambridge, MA",,False
1466,"

    HeartWare, Inc.
",Senior Statistical Programmer,"Framingham, MA 01701",,False
1467,"
    WATERMARK ENVIRONMENT",Environmental Scientist,"Lowell, MA",,True
1468,"

    Parexel International",Senior Statistical Programmer (Home Based),"Boston, MA",,True
1469,"

    EBSCO Information Services","Quantitative Analyst, Lean Analytics Jedi","Ipswich, MA",,True
1470,"

    Philips Lighting",Data Scientist (Senior),"Cambridge, MA",,True
1471,"

    Philips Lighting",Data Analyst/Engineer,"Cambridge, MA",,True
1472,"

    Rakuten, Inc.
",Big Data Engineer,"Boston, MA",,False
1473,"


    Evidera
","Research Scientist - Meta Research - Lexington, MA","Lexington, MA",,False
1474,"


    inVentiv Health Clinical
","Associate Scientist I, Research","Somerville, MA",,False
1475,"


    WSP | Parsons Brinckerhoff
",Desktop Analyst,"Boston, MA",,False
1476,"

    Integrated Resources, Inc
",Analytical Scientist,"Andover, MA",,False
1477,"

    Seven Bridges
",Scientific Project Manager,"Cambridge, MA",,False
1478,"

    Seres Therapeutics, Inc.
",Scientist - Screening,"Cambridge, MA 02139 (Area IV area)",,False
1479,"


    Broad Institute
",Research Associate - Proteomics,"Boston, MA",,False
1480,"


    Merck
",ADME Scientist Job,"Boston, MA",,False
1481,"


    McKinsey & Company
",Americas Analytic Services - Data Engineer,"Waltham, MA",,False
1482,"

    Altran",Lead Computational Biologist / Data Scientist,"Needham, MA",,True
1483,"

    Parexel International",Senior Statistical Programmer (Home Based),"Boston, MA",,True
1484,"

    Harvard University",Post-Doctoral Fellow in Data Science,"Cambridge, MA",,True
1485,"

    Zappos.com, Inc.",Data Science Fall College Intern,"Las Vegas, NV",,True
1486,"

    Amazon Corporate LLC",Principal Data Scientist - Consumer Website- Relocation Oppo...,United States,,True
1487,"

    Amazon Corporate LLC","Software Development Engineer, Big Data- Relocation Opportun...",United States,,True
1488,"


    Zappos.com, Inc.
",Data Science Fall College Intern,"Las Vegas, NV 89101 (Cultural Corridor area)",,False
1489,"

    McCallie Associates
",USAMS III - Data Analysis Subject Matter Expert,"Nellis AFB, NV",,False
1490,"


    Newmark Grubb Knight Frank
",Research Analyst,"Las Vegas, NV 89169",,False
1491,"


    St Rose Dominican - Siena
",Director of Laboratory - Full Time-Siena,"Henderson, NV 89052 (Westgate area)",,False
1492,"

    StrategicHealthSolutions
",Chief Statistician,"Las Vegas, NV",,False
1493,"


    Desert Research Institute
","Associate Research Scientist, Nuclear Forensics/Nonprolifera...","Las Vegas, NV 89119",,False
1494,"


    Macfarlane Group
",Data Scientist,"Las Vegas, NV 89119",,False
1495,"


    HMS
",Health Research Analyst II,"Las Vegas, NV",,False
1496,"

    Recruit Veterans
",Electronic Technician,"Las Vegas, NV 89101 (Cultural Corridor area)",,False
1497,"


    North Vista Hospital
",Medical Technologist - Laboratory - Per Diem,"North Las Vegas, NV 89030 (North Last Vegas area)",,False
1498,"

    Zappos.com, Inc.",Statistical Retail Business Analyst / Data Scientist,"Las Vegas, NV",,True
1499,"

    Zappos.com, Inc.",Statistical Retail Business Analyst / Data Scientist,"Las Vegas, NV",,True
1500,"

    netPolarity
",Data Scientist,"Las Vegas, NV",,False
1501,"


    Caesars Enterprise Services
",Data Scientist-Advanced Analytics,"Las Vegas, NV",,False
1502,"


    Zappos.com, Inc.
",Statistical Retail Business Analyst / Data Scientist,"Las Vegas, NV 89101 (Cultural Corridor area)",,False
1503,"


    Caesars Enterprise Services
",Data Scientist/Prod Innovation Dir,"Las Vegas, NV",,False
1504,"


    Oak Ridge Associated Universities
",EPA Environmental Chemistry Laboratory Assistant,"Las Vegas, NV",[<nobr>$20.04 an hour</nobr>],False
1505,"


    Strategic IT Staffing
",Senior DevOps Engineer,"Las Vegas, NV",,False
1506,"


    AppleOne
",Data Scientist - SAS,"Las Vegas, NV 89113",,False
1507,"


    Oak Ridge Associated Universities
","EPA Environmental Chemistry Laboratory Assistant, Chemical E...","Las Vegas, NV",[<nobr>$20.04 an hour</nobr>],False
1508,"

    Zappos.com, Inc.",Data Science Fall College Intern,"Las Vegas, NV",,True
1509,"

    Amazon Corporate LLC",Principal Data Scientist - Consumer Website- Relocation Oppo...,United States,,True
1510,"

    Amazon Corporate LLC","Software Development Engineer, Big Data- Relocation Opportun...",United States,,True
1511,"

    Amazon Corporate LLC",Principal Data Scientist - Consumer Website- Relocation Oppo...,United States,,True
1512,"

    Amazon Web Services, Inc.","Principal Research Scientist, Forecasting and Optimization-...",United States,,True
1513,"

    netPolarity
",Data Scientist,"Las Vegas, NV",,False
1514,"


    Caesars Enterprise Services
",Data Scientist-Advanced Analytics,"Las Vegas, NV",,False
1515,"


    Zappos.com, Inc.
",Statistical Retail Business Analyst / Data Scientist,"Las Vegas, NV 89101 (Cultural Corridor area)",,False
1516,"


    Caesars Enterprise Services
",Data Scientist/Prod Innovation Dir,"Las Vegas, NV",,False
1517,"


    Oak Ridge Associated Universities
",EPA Environmental Chemistry Laboratory Assistant,"Las Vegas, NV",[<nobr>$20.04 an hour</nobr>],False
1518,"


    Strategic IT Staffing
",Senior DevOps Engineer,"Las Vegas, NV",,False
1519,"


    AppleOne
",Data Scientist - SAS,"Las Vegas, NV 89113",,False
1520,"


    Oak Ridge Associated Universities
","EPA Environmental Chemistry Laboratory Assistant, Chemical E...","Las Vegas, NV",[<nobr>$20.04 an hour</nobr>],False
1521,"

    Amazon Corporate LLC","Software Development Engineer, Big Data- Relocation Opportun...",United States,,True
1522,"

    Zappos.com, Inc.",Statistical Retail Business Analyst / Data Scientist,"Las Vegas, NV",,True
1523,"

    Zappos.com, Inc.",Data Science Fall College Intern,"Las Vegas, NV",,True
1524,"

    Amazon Corporate LLC",Principal Research Scientist- Relocation Opportunity,United States,,True
1525,"

    Amazon Corporate LLC","Director, Research Science- Relocation Opportunity",United States,,True
1526,"

    Amazon Corporate LLC","Software Development Engineer, Big Data- Relocation Opportun...",United States,,True
1527,"

    Amazon Web Services, Inc.","Principal Research Scientist, Forecasting and Optimization-...",United States,,True
1528,"

    netPolarity
",Data Scientist,"Las Vegas, NV",,False
1529,"


    Caesars Enterprise Services
",Data Scientist-Advanced Analytics,"Las Vegas, NV",,False
1530,"


    Zappos.com, Inc.
",Statistical Retail Business Analyst / Data Scientist,"Las Vegas, NV 89101 (Cultural Corridor area)",,False
1531,"


    Caesars Enterprise Services
",Data Scientist/Prod Innovation Dir,"Las Vegas, NV",,False
1532,"


    Oak Ridge Associated Universities
",EPA Environmental Chemistry Laboratory Assistant,"Las Vegas, NV",[<nobr>$20.04 an hour</nobr>],False
1533,"


    Strategic IT Staffing
",Senior DevOps Engineer,"Las Vegas, NV",,False
1534,"


    AppleOne
",Data Scientist - SAS,"Las Vegas, NV 89113",,False
1535,"


    Oak Ridge Associated Universities
","EPA Environmental Chemistry Laboratory Assistant, Chemical E...","Las Vegas, NV",[<nobr>$20.04 an hour</nobr>],False
1536,"

    Zappos.com, Inc.",Statistical Retail Business Analyst / Data Scientist,"Las Vegas, NV",,True
1537,"

    Amazon Corporate LLC",Principal Data Scientist - Consumer Website- Relocation Oppo...,United States,,True
1538,"

    Zappos.com, Inc.",Data Science Fall College Intern,"Las Vegas, NV",,True
1539,"

    Amazon Corporate LLC",Principal Research Scientist- Relocation Opportunity,United States,,True
1540,"

    Amazon Corporate LLC","Director, Research Science- Relocation Opportunity",United States,,True
1541,"

    Amazon Corporate LLC","Software Development Engineer, Big Data- Relocation Opportun...",United States,,True
1542,"

    Amazon Web Services, Inc.","Principal Research Scientist, Forecasting and Optimization-...",United States,,True
1543,"

    netPolarity
",Data Scientist,"Las Vegas, NV",,False
1544,"


    Caesars Enterprise Services
",Data Scientist-Advanced Analytics,"Las Vegas, NV",,False
1545,"


    Zappos.com, Inc.
",Statistical Retail Business Analyst / Data Scientist,"Las Vegas, NV 89101 (Cultural Corridor area)",,False
1546,"


    Caesars Enterprise Services
",Data Scientist/Prod Innovation Dir,"Las Vegas, NV",,False
1547,"


    Oak Ridge Associated Universities
",EPA Environmental Chemistry Laboratory Assistant,"Las Vegas, NV",[<nobr>$20.04 an hour</nobr>],False
1548,"


    Strategic IT Staffing
",Senior DevOps Engineer,"Las Vegas, NV",,False
1549,"


    AppleOne
",Data Scientist - SAS,"Las Vegas, NV 89113",,False
1550,"


    Oak Ridge Associated Universities
","EPA Environmental Chemistry Laboratory Assistant, Chemical E...","Las Vegas, NV",[<nobr>$20.04 an hour</nobr>],False
1551,"

    Amazon Corporate LLC",Principal Data Scientist - Consumer Website- Relocation Oppo...,United States,,True
1552,"

    Zappos.com, Inc.",Statistical Retail Business Analyst / Data Scientist,"Las Vegas, NV",,True
1553,"

    Zappos.com, Inc.",Data Science Fall College Intern,"Las Vegas, NV",,True
1554,"

    Amazon Corporate LLC",Principal Research Scientist- Relocation Opportunity,United States,,True
1555,"

    Amazon Corporate LLC","Director, Research Science- Relocation Opportunity",United States,,True
1556,"

    Amazon Corporate LLC",Principal Data Scientist - Consumer Website- Relocation Oppo...,United States,,True
1557,"

    Amazon Corporate LLC","Software Development Engineer, Big Data- Relocation Opportun...",United States,,True
1558,"

    Amazon Web Services, Inc.","Principal Research Scientist, Forecasting and Optimization-...",United States,,True
1559,"

    netPolarity
",Data Scientist,"Las Vegas, NV",,False
1560,"


    Caesars Enterprise Services
",Data Scientist-Advanced Analytics,"Las Vegas, NV",,False
1561,"


    Zappos.com, Inc.
",Statistical Retail Business Analyst / Data Scientist,"Las Vegas, NV 89101 (Cultural Corridor area)",,False
1562,"


    Caesars Enterprise Services
",Data Scientist/Prod Innovation Dir,"Las Vegas, NV",,False
1563,"


    Oak Ridge Associated Universities
",EPA Environmental Chemistry Laboratory Assistant,"Las Vegas, NV",[<nobr>$20.04 an hour</nobr>],False
1564,"


    Strategic IT Staffing
",Senior DevOps Engineer,"Las Vegas, NV",,False
1565,"


    AppleOne
",Data Scientist - SAS,"Las Vegas, NV 89113",,False
1566,"


    Oak Ridge Associated Universities
","EPA Environmental Chemistry Laboratory Assistant, Chemical E...","Las Vegas, NV",[<nobr>$20.04 an hour</nobr>],False
1567,"

    Zappos.com, Inc.",Statistical Retail Business Analyst / Data Scientist,"Las Vegas, NV",,True
1568,"

    Zappos.com, Inc.",Data Science Fall College Intern,"Las Vegas, NV",,True
1569,"

    Amazon Corporate LLC",Principal Research Scientist- Relocation Opportunity,United States,,True
1570,"

    Amazon Corporate LLC","Director, Research Science- Relocation Opportunity",United States,,True
1571,"

    Amazon Corporate LLC","Software Development Engineer, Big Data- Relocation Opportun...",United States,,True
1572,"

    Amazon Web Services, Inc.","Principal Research Scientist, Forecasting and Optimization-...",United States,,True
1573,"

    netPolarity
",Data Scientist,"Las Vegas, NV",,False
1574,"


    Caesars Enterprise Services
",Data Scientist-Advanced Analytics,"Las Vegas, NV",,False
1575,"


    Zappos.com, Inc.
",Statistical Retail Business Analyst / Data Scientist,"Las Vegas, NV 89101 (Cultural Corridor area)",,False
1576,"


    Caesars Enterprise Services
",Data Scientist/Prod Innovation Dir,"Las Vegas, NV",,False
1577,"


    Oak Ridge Associated Universities
",EPA Environmental Chemistry Laboratory Assistant,"Las Vegas, NV",[<nobr>$20.04 an hour</nobr>],False
1578,"


    Strategic IT Staffing
",Senior DevOps Engineer,"Las Vegas, NV",,False
1579,"


    AppleOne
",Data Scientist - SAS,"Las Vegas, NV 89113",,False
1580,"


    Oak Ridge Associated Universities
","EPA Environmental Chemistry Laboratory Assistant, Chemical E...","Las Vegas, NV",[<nobr>$20.04 an hour</nobr>],False
1581,"

    Amazon Corporate LLC",Principal Data Scientist - Consumer Website- Relocation Oppo...,United States,,True
1582,"

    Zappos.com, Inc.",Statistical Retail Business Analyst / Data Scientist,"Las Vegas, NV",,True
1583,"

    Zappos.com, Inc.",Data Science Fall College Intern,"Las Vegas, NV",,True
1584,"

    Amazon Corporate LLC",Principal Research Scientist- Relocation Opportunity,United States,,True
1585,"

    Amazon Corporate LLC","Director, Research Science- Relocation Opportunity",United States,,True
1586,"

    Amazon Corporate LLC","Software Development Engineer, Big Data- Relocation Opportun...",United States,,True
1587,"

    Amazon Web Services, Inc.","Principal Research Scientist, Forecasting and Optimization-...",United States,,True
1588,"

    netPolarity
",Data Scientist,"Las Vegas, NV",,False
1589,"


    Caesars Enterprise Services
",Data Scientist-Advanced Analytics,"Las Vegas, NV",,False
1590,"


    Zappos.com, Inc.
",Statistical Retail Business Analyst / Data Scientist,"Las Vegas, NV 89101 (Cultural Corridor area)",,False
1591,"


    Caesars Enterprise Services
",Data Scientist/Prod Innovation Dir,"Las Vegas, NV",,False
1592,"


    Oak Ridge Associated Universities
",EPA Environmental Chemistry Laboratory Assistant,"Las Vegas, NV",[<nobr>$20.04 an hour</nobr>],False
1593,"


    Strategic IT Staffing
",Senior DevOps Engineer,"Las Vegas, NV",,False
1594,"


    AppleOne
",Data Scientist - SAS,"Las Vegas, NV 89113",,False
1595,"


    Oak Ridge Associated Universities
","EPA Environmental Chemistry Laboratory Assistant, Chemical E...","Las Vegas, NV",[<nobr>$20.04 an hour</nobr>],False
1596,"

    Amazon Corporate LLC",Principal Data Scientist - Consumer Website- Relocation Oppo...,United States,,True
1597,"

    Zappos.com, Inc.",Statistical Retail Business Analyst / Data Scientist,"Las Vegas, NV",,True
1598,"

    Zappos.com, Inc.",Data Science Fall College Intern,"Las Vegas, NV",,True
1599,"

    Amazon Corporate LLC",Principal Research Scientist- Relocation Opportunity,United States,,True
1600,"

    Amazon Corporate LLC","Director, Research Science- Relocation Opportunity",United States,,True
1601,"

    Amazon Corporate LLC","Software Development Engineer, Big Data- Relocation Opportun...",United States,,True
1602,"

    netPolarity
",Data Scientist,"Las Vegas, NV",,False
1603,"


    Caesars Enterprise Services
",Data Scientist-Advanced Analytics,"Las Vegas, NV",,False
1604,"


    Zappos.com, Inc.
",Statistical Retail Business Analyst / Data Scientist,"Las Vegas, NV 89101 (Cultural Corridor area)",,False
1605,"


    Caesars Enterprise Services
",Data Scientist/Prod Innovation Dir,"Las Vegas, NV",,False
1606,"


    Oak Ridge Associated Universities
",EPA Environmental Chemistry Laboratory Assistant,"Las Vegas, NV",[<nobr>$20.04 an hour</nobr>],False
1607,"


    Strategic IT Staffing
",Senior DevOps Engineer,"Las Vegas, NV",,False
1608,"


    AppleOne
",Data Scientist - SAS,"Las Vegas, NV 89113",,False
1609,"


    Oak Ridge Associated Universities
","EPA Environmental Chemistry Laboratory Assistant, Chemical E...","Las Vegas, NV",[<nobr>$20.04 an hour</nobr>],False
1610,"

    Amazon Corporate LLC",Principal Data Scientist - Consumer Website- Relocation Oppo...,United States,,True
1611,"

    Zappos.com, Inc.",Statistical Retail Business Analyst / Data Scientist,"Las Vegas, NV",,True
1612,"

    Zappos.com, Inc.",Data Science Fall College Intern,"Las Vegas, NV",,True
1613,"

    Amazon Web Services, Inc.","Principal Research Scientist, Forecasting and Optimization-...",United States,,True
